id,province,year,Total Import and Export Value (in ten thousand US dollars),100 US dollars converted to Chinese Yuan,Total Import and Export Value (in ten thousand yuan,GDP,Foreign Direct Investment (in ten thousand US dollars),Number of Green Invention Patent Applications (pieces),Number of Green Utility Model Patent Applications (pieces),Number of Green Patent Applications (pieces),Number of Green Invention Patent Grants (pieces),Number of Green Utility Model Patent Grants (pieces),Number of Green Patent Grants (pieces),Number of Invention Patents Granted,"General Budget Expenditure/10,000 RMB","Education Expenditure/10,000 RMB","Science and Technology Expenditure/10,000 RMB","Total Number of Employed Persons (10,000 persons)",Value Added of the Tertiary Industry (100 million yuan),Consumption Tax (100 million yuan),Resource Tax (100 million yuan),Urban Maintenance and Construction Tax (100 million yuan),Urban Land Use Tax (100 million yuan),Vehicle and Vessel Usage Tax and License Tax (100 million yuan),Vehicle Purchase Tax (100 million yuan),Farmland Occupation Tax (100 million yuan),Pollution Discharge Fee/Environmental Protection Tax (100 million yuan),Tax revenue (in 100 million yuan),Total tax revenue considering pollution discharge fee (in 100 million yuan),Per capita GDP (in yuan),Comprehensive innovation level(TCC),Industrial sulfur dioxide emissions (in tons),Industrial wastewater discharge volume (in ten thousand tons),Industrial smoke and dust emissions (in ten thousand tons) (including PM2.5 emissions),Fixed asset investment (in 100 million yuan),Total energy consumption (in ten thousand tons of standard coal),Urban unit end-of-year employment (in ten thousand people)
1,Beijing,2014,41551859,614.28,255244759.4652,21330.83,904085,12114,6563,18677,4154,6602,10756,74661.0,45246690,7420541,2827117,1156.7,16627.04,210.0149,0.78,187.24,17.76,27.72,118.4735,4.69,2.4725,11534.497,11536.9695,106732,50.11,40347,9174,2.271,6924.2301,6831,755.9
1,Beijing,2015,31944057,622.84,198960364.6188,23014.59,1299635,13657,7385,21042,5172,7001,12173,94031.0,57377000,8556700,2878000,1186.1,18331.74,248.5738,0.91,204.36,17.88,25.27,113.9578,4.54,2.5611,12277.919,12280.4801,113692,50.45,22070,8978,1.2987,7495.9934,6803,777.3448
1,Beijing,2016,28234896,664.23,187544649.7008,25669.13,1302858,16844,8568,25412,6936,7194,14130,100578.0,64067700,8873700,2857800,1220.1,20594.9,242.119,0.75,221.64,19.18,32.44,108.9346,3.34,5.2926,12966.241,12971.5336,123391,52.61,10257,8406.3431,0.7848,7943.8925,6917,791.5197
1,Beijing,2017,32401742,675.18,218770081.6356,28014.94,2432909,19545,9870,29415,6821,7344,14165,106948.0,68245284,9646184,3617581,1246.8,22567.76,239.7318,1.08,225.41,19.92,33.1,124.3678,2.72,5.9787,12970.086,12976.0647,136172,52.56,3799,7871.0854,0.4282,8370.4358,7088,812.8589
1,Beijing,2018,41248794,661.74,272959769.4156,30319.98,1731089,24051,10619,34670,6492,9956,16448,123496.0,74714332,10255070,4258712,1237.8,24553.64,195.7007,27.23,245.58,19.65,31.23,113.8475,2.82,4.4767,13210.185,13214.6617,150962,54.3,1554,7369.9092,0.4404,7533.3926,7270,819.3019
1,Beijing,2019,41645675,689.85,287292688.9875,35371.28,1421299,23469,10901,34370,7126,9756,16882,131716.0,74081876,11371772,4334167,1273,29542.53,247.0212,32.63,234.98,20.03,32.92,111.3502,3.23,9.6006,13643.283,13652.8836,161776,53.22,1923,6900.6444,0.738,8541.2564,7360,791.3
1,Beijing,2020,33647808,689.76,232089120.4608,36102.55,1410441,16335,2912,19247,10010,12265,22275,162824.0,71161800,11382900,4109600,1259.4,30278.57,298.3417,29.64,222.05,18.51,34.21,108.8529,2.88,9.44,14076.381,14085.821,164158,55.5,988,6461.2591,1.0357,9600.674,6762,763.2
1,Beijing,2021,47102423.5,645.15,303881285.21025,40269.6,1556162,13133,3082,16215,9077,10291,19368,198778.0,72051200,11478300,4494500,1158,32889.61,243.5115,31.28,263.3385,18.93,33.34,100.1886,4.52,10.48,14532.4501,14542.9301,187526,57.99,961,6455,0.9482,9794.6834,7103,754.2
2,Tianjing,2004,4202860.6,827.68,34786236.61408,3110.97,247243,217,146,363,40,139,179,2578.0,3750212,553991,22915,527.78,1269.43,35.2408,0.354,13.0921,0.8711,0.7008,0,1.0698,1.4929,791.0642,792.5571,25760.58,39.61,201000,22628,8.8,1245.66,3697,193.9
2,Tianjing,2005,5327680.4,819.17,43642759.53268,3905.64,332885,298,176,474,79,135,214,3045.0,4421207,672034,27989,542.52,1534.07,44.775,0.4679,15.8763,1.0124,0.8791,10.4559,0.8255,2.01767,1035.9848,1038.00247,30567.05,37.43,241000,30081,9.6,1495.1399,4085,194.1
2,Tianjing,2006,6446194,797.18,51387769.3292,4462.74,413077,401,313,714,90,152,242,4159.0,5431219,815828,33063,562.92,1752.63,78.5393,0.5004,19.2174,1.1,1.1601,12.1519,0.4932,2.40612,1305.7665,1308.17262,33410.58,41.04,232000,22978,7.7,1820.52,4500,194.997
2,Tianjing,2007,7144973.3,760.4,54330376.9732,5252.76,527776.5,455,396,851,135,333,468,5584.0,6743262,1100248,223384,613.93,2047.68,108.122,0.5765,23.3306,5.499,1.2639,15.9796,1.2689,2.46147,1620.0809,1622.54237,37976.35,37.7,225000,21444,7.2,2353.1499,4943,200.2
2,Tianjing,2008,8040083.6,694.51,55839184.61036,6719.01,741978.1,414,429,843,149,450,599,6790.0,8677245,1416985,286530,647.32,2410.73,146.7808,0.7554,26.0574,10.4238,3.725,18.6559,1.7953,1.65456,2009.0406,2010.69516,45241.64,37.24,209844,20433,6.5,3389.7899,5364,200.6
2,Tianjing,2009,6383123.4,683.1,43603115.9454,7521.85,901985,629,615,1244,257,453,710,7404.0,11242778,1736062,339953,677.13,3405.16,218.4359,0.6877,28.7017,11.1642,3.4088,19.5214,12.7789,1.8190855,2022.1152,2023.9342855,47497.42,37.44,172980,19441,6.7,4738.2002,5874,201.6501
2,Tianjing,2010,8210005,676.95,55577628.8475,9224.46,1084872,730,768,1498,214,689,903,11006.0,13768395,2295648,432530,667,4238.65,334.5653,0.5635,37.4003,11.7115,4.3854,29.7366,12.3307,1.736002,2730.2099,2731.945902,54052.58,35.89,218000,19680,6.2,6278.09,6818,205.7
2,Tianjing,2011,10337616.6,645.88,66768598.09608,11307.28,1305602,1023,1059,2082,311,914,1225,13982.0,17963300,3023200,601700,677,5219.24,407.8704,0.73,64.44,12.7,5.78,36.8677,11.98,1.96438,3423.8431,3425.80748,61458.41,38.29,221897,19795,6.5333,7067.6698,7598,268.2419
2,Tianjing,2012,11563427,631.25,72994132.9375,12893.88,1501633,1474,1555,3029,420,1103,1523,19782.0,21432125,3787491,764529,693,6058.46,433.4324,2.67,71.17,17.21,8.74,40.4551,15.55,1.9214,3772.238,3774.1594,66517.25,34.09,215481,19117,5.9036,7934.7802,8208,289.0714
2,Tianjing,2013,12850178.8,619.32,79583727.34416,14442.01,1682897,2091,1754,3845,457,1798,2255,24856.0,25492061,4613571,928087,711,6905.03,391.5535,3.62,84.61,22.75,9.97,49.5469,16.2,1.8697,4024.1905,4026.0602,71344.62,36.13,207793,18692,6.2766,9130.2494,7882,302.4363
2,Tianjing,2014,13388607.5,614.28,82243538.151,15726.93,1886676.3,2228,2253,4481,468,2038,2506,26351.0,28846993,5170063,1089967,718,7795.18,412.9532,2.76,88.98,25.19,9.91,31.7824,11.51,3.6012,4294.3413,4297.9425,74960.34,36.61,195395,19011,11.2187,10518.19,8145,295.5
2,Tianjing,2015,11428280.3,622.84,71179901.02052,16538.19,2113444,3182,3815,6997,500,2879,3379,37342.0,32323500,5074400,1208200,718,8625.15,378.2767,2.1,96.17,25.07,10.53,31.5505,10.41,5.5385,3956.3862,3961.9247,75868.27,36.49,154605,18973,7.3795,11831.9891,8319,294.7801
2,Tianjing,2016,10265594.7,664.23,68187159.67581,17885.39,1010045,4659,4748,9407,719,3922,4641,39734.0,36994300,5024900,1251800,705,10093.82,375.3836,1.69,98.19,23.47,10.47,33.9975,8.02,5.307,4042.7756,4048.0826,79647.47,34.15,22048,18022.38,5.728,12779.3884,8078,286.0447
2,Tianjing,2017,11291916.5,675.18,76240761.8247,18549.19,1060784,3963,5668,9631,822,4226,5048,41675.0,32825404,4345894,1159874,684,10786.64,421.0187,2.56,97.26,18.59,11.15,39.3768,10.82,5.0594,4470.2086,4475.268,87280.48,33.71,21793,18106.7,4.448,11288.9194,7832,269.478
2,Tianjing,2018,12255729.1,661.74,81101061.74634,18809.64,485103.6,4135,5857,9992,842,5772,6614,54680.0,31031579,4481946,1066828,672,11027.12,366.4696,11.34,106.19,16.88,11.53,38.99,9.11,3.5769,4476.8269,4480.4038,95688.65,32.14,16609,17729,3.4837,10611.5839,7973,259.9869
2,Tianjing,2019,10664567.1,689.85,73569516.13935,14104.28,473160.7,4025,6851,10876,792,5488,6280,57799.0,35557052,4676300,1099332,659,8949.87,417.8229,12.82,108.7,15.95,13.1,37.7541,4.6,4.3005,4589.7621,4594.0626,101556.79,28.83,15963,18791.7867,5.2598,12817.2428,8241,269.4
2,Tianjing,2020,10632181.56,689.76,73336535.528256,14083.73,473536,2345,1580,3925,814,7660,8474,75434.0,31513500,4429100,1181700,647,9069.47,469.1762,11.56,101.61,14.19,13.96,36.5182,2.38,3.12,4702.6973,4705.8173,101067.82,27.08,9756,16157.3333,7.0359,15167.5039,8104,278.81
2,Tianjing,2021,13256519.9,645.15,85524438.13485,15695.05,538900,1576,1626,3202,704,6780,7484,97910.0,31525500,4972500,1039700,641,9615.3674,390.7119,11.7,112.3296,15.01,14.37,50.0507,4.05,2.67,4563.5561,4566.2261,113660,26.94,9856,15829.91,6.8219,15559.2372,8205,281.29
3,Hebei,2004,1352585,827.68,11195075.528,8477.63,162341,90,200,290,46,138,184,3407.0,7855591,1423523,29857,3516.7,2763.16,32.3444,8.1144,22.9806,3.9373,0.7461,0,2.3155,5.5383,728.2496,733.7879,11178,24.58,1215000,127386,126.6,3218.76,15782,494.1
3,Hebei,2005,1607035,819.17,13164348.6095,10012.11,191256,125,237,362,42,183,225,3585.0,9791635,1705374,35192,3569,3360.54,35.9038,11.0338,29.2508,4.4924,0.9128,25.3702,2.778,6.42343,968.7182,975.14163,12845,23.47,1281000,124533,127.3,4139.69,19836,495.6
3,Hebei,2006,1853088,797.18,14772446.9184,11467.6,201434,189,286,475,37,228,265,4131.0,11803590,1895526,39768,3610,3938.94,41.338,17.5241,33.4231,5.3728,1.1205,32.2589,3.9003,7.60335,1154.5112,1162.11455,14609,22.48,1326000,130340,119.9,5470.2401,21794,501.2171
3,Hebei,2007,2552341,760.4,19408000.964,13607.32,241621,185,281,466,45,326,371,5358.0,15066482,2833938,174050,3665,4662.98,47.5928,24.0888,40.2442,17.2635,2.7665,43.2147,4.1515,10.55032,1459.4804,1470.03072,17561,24.25,1294000,123537,99.6,6884.68,23585,498.5
3,Hebei,2008,3842053,694.51,26683442.2903,16011.97,341868,218,467,685,56,340,396,5496.0,18816696,3769819,216674,3725.7,5376.59,57.6926,23.6604,48.7107,27.647,6.2589,53.0603,6.4937,11.69611,1782.4857,1794.18181,20385,22.54,1158712,121172,90.3,8866.5603,24322,501
3,Hebei,2009,2962725,683.1,20238374.475,17235.48,359824,362,584,946,76,476,552,6839.0,23475894,4393347,264283,3792.5,6068.31,137.8613,23.6132,51.1463,33.375,10.663,57.6287,13.1272,14.23627325,1938.0921,1952.32837325,21831,25.2,1042679,110058,75.7,12269.7988,25419,503.0626
3,Hebei,2010,4206037,676.95,28472767.4715,20394.26,383074,433,683,1116,101,700,801,10061.0,28202439,5142968,296492,4135,7123.77,166.0945,25.7652,64.2974,34.4883,15.9322,88.4,21.438,13.721353,2377.206,2390.927353,25308,23.26,994000,114232,64.4,15083.3504,27531,519.6
3,Hebei,2011,5360084,645.88,34619710.5392,24515.76,468095,587,859,1446,186,800,986,11119.0,35373900,6521100,332200,4087,8483.17,190.8407,32.77,87.84,45.55,21.67,106.7871,25.57,14.87373,2996.396,3011.26973,29647,22.44,1317099,118505,122.3502,16389.3302,29498,555.4236
3,Hebei,2012,5056306,631.25,31917931.625,26575.01,580486,839,1266,2105,277,928,1205,15315.0,40794366,8655393,447388,4063,9384.78,218.2527,54.26,97.59,58.12,20.78,116.5413,48.25,16.6539,3467.2867,3483.9406,31844,26.67,1238737,122645,105.5732,19661.2794,30250,619.9464
3,Hebei,2013,5491157,619.32,34007833.5324,28442.95,644720,853,1241,2094,353,1453,1806,18186.0,44095849,8376280,497600,4032,10038.89,205.8511,56.96,101.66,62.42,23.83,144.695,42.03,16.6499,3611.9126,3628.5625,33346,23.02,1173147,109876,118.7198,23194.2298,29664,653.358
3,Hebei,2014,5987736,614.28,36781464.7008,29421.15,637196,1002,1547,2549,334,1501,1835,20132.0,46772981,8688707,513193,3978,10960.84,196.9539,54.68,105.94,104.04,27.61,160.5925,49.12,15.1087,3750.0039,3765.1126,34507,20.88,1047351,108562,145.0723,26671.9197,29320,656.2
3,Hebei,2015,5151375,622.84,32084824.05,29806.11,617750,1402,2244,3646,462,1948,2410,30130.0,56321900,10411600,455000,3927,11979.79,290.958,28.36,111.89,106.84,31.95,156.1088,49.37,16.3757,3758.5737,3774.9494,35994,21.14,829414,94110,111.1046,29448.271,31037,643.6468
3,Hebei,2016,4667538,664.23,31003187.6574,32070.45,735388,2129,3312,5441,623,2507,3130,31826.0,60495300,11349000,731800,3871,13320.71,283.9261,30.2,115.21,101.65,36.12,148.3218,67.24,16.8701,3952.1567,3969.0268,38688,20.89,472855,67790,125.6836,31750.0162,31458,639.621
3,Hebei,2017,4985554,675.18,33661463.4972,34016.32,848951,2481,4463,6944,703,2983,3686,35348.0,66391840,12765528,690827,3795,15040.13,304.1535,44.98,129,112.14,41.86,180.7507,58.5,25.4114,4606.0071,4631.4185,41451,24.23,351423,44325,80.3689,33406.801,32083,535.3159
3,Hebei,2018,5390087,661.74,35668361.7138,36010.27,908110,3199,5247,8446,738,4788,5526,51894.0,77262086,13855919,770445,3739,16632.21,335.6592,48.03,149.92,122.98,48.95,197.8655,63.4,17.5716,5162.4529,5180.0245,43808,21.97,268124,37781,46.6063,35411.21,32185,550.3377
3,Hebei,2019,5804328,689.85,40041156.708,35104.52,984795,3304,7397,10701,806,4843,5649,57809.0,83090391,15370851,907006,3702,17988.82,383.1091,56.13,148.19,139.06,53.96,189.8702,80.86,27.3145,5273.2637,5300.5782,47036.31,21.86,230605,41053,90.9408,36383.8543,32545,576
3,Hebei,2020,6447023,689.76,44468985.8448,36206.89,1085077,2599,2378,4977,1025,8712,9737,92196.0,90227900,15962600,1017600,3671,18729.54,430.559,53.06,132.55,145.9,54.44,181.8749,119.79,24.49,5384.0745,5408.5645,48302,23.28,122789,38555,135.2754,37290.8053,32782.76,601.66
3,Hebei,2021,8381459.4,645.15,54072985.3191,40391.3,1129000,1939,2182,4121,1028,7732,8760,120034.0,92055900,16839800,982500,3643,19996.71,445.7923,74.2,159.1727,155.59,59.16,183.9279,103.11,19.22,5538.3214,5557.5414,54181,26.48,123588,37823,121.5829,37743.8419,32590.07,629.82
4,Shanxi,2004,538248.7,827.68,4454976.84016,3571.37,9021,41,60,101,50,49,99,1189.0,5190569,802684,18856,1474.5779,978.96,7.0398,8.7022,16.8322,2.4781,0.3365,0,0.793,7.5251,478.34,485.8651,10515,27.77,1093000,31393,155,1443.88,11251,362
4,Shanxi,2005,554565.5,819.17,4542834.20635,4230.53,27516,66,85,151,39,66,105,1220.0,6687508,1020914,20905,1500,1563.94,8.0138,18.1699,21.3095,4.498,0.2922,16.8424,1.1477,11.92012,701.1979,713.11802,12195,24.18,1200000,32099,160.5,1826.58,12750,360.5
4,Shanxi,2006,662709.9,797.18,5282990.78082,4878.61,47199,106,146,252,37,77,114,1421.0,9155698,1208708,24942,1561.2,1727.44,8.6413,20.3968,25.661,5.0608,0.3271,19.5537,1.2442,15.59175,842.5244,858.11615,14008,24.55,1177000,44091,148.8,2255.7401,14098,365.5438
4,Shanxi,2007,1157948,760.4,8805036.592,6024.45,134283,124,163,287,38,163,201,1992.0,10499228,1812182,157971,1550.0978,2025.09,10.134,25.8857,29.8619,5.7295,0.3081,26.3867,1.7933,27.68637,1100.3355,1128.02187,17542,23.33,1118000,41140,131.4,2861.4599,15601,375.3
4,Shanxi,2008,1439506,694.51,9997513.1206,7315.4,102282,143,236,379,46,180,226,2279.0,13150175,2349868,176381,1583.4558,2370.48,12.1691,31.7432,43.0142,20.1186,2.2139,36.9812,2.2306,25.06988,1424.4254,1449.49528,21234,23.01,1058363,41150,99.7,3531.16,15675,375.2
4,Shanxi,2009,856903.2,683.1,5853505.7592,7358.31,49315.5,233,319,552,77,239,316,3227.0,15617047,2780654,176069,1599.6491,2886.92,19.8554,30.0528,41.2507,22.3231,3.5592,30.4046,2.712,18.20116925,1396.4593,1414.66046925,20906,24.69,1009586,39720,86.6,4943.1601,15576,385.7975
4,Shanxi,2010,1257623,676.95,8513478.8985,9200.86,71421,296,355,651,73,364,437,4752.0,19313641,3285846,201190,1802,3412.38,28.588,32.6522,47.3853,21.9663,6.9561,47.0404,3.869,15.936657,1635.2284,1651.165057,25434,23.83,1147000,49881,79.7,6063.1701,16808,394.4
4,Shanxi,2011,1474306,645.88,9522247.5928,11237.55,207278,315,362,677,127,399,526,4974.0,23638500,4217900,271700,1817,3960.87,34.317,38.76,60.97,25.05,8.63,56.0361,6.19,19.14574,2033.2061,2052.35184,30533.66,23.16,1294321,39665,100.841,7073.0602,18315,409.6869
4,Shanxi,2012,1504311,631.25,9495963.1875,12112.83,250379.4,470,546,1016,142,397,539,7196.0,27594582,5580258,333189,1834,4682.95,43.4347,43.78,67.79,27.47,10.95,61.1576,8.95,12.6524,2317.1155,2329.7679,32863.88,20.68,1194634,48108,94.8115,8863.26,19336,436.0001
4,Shanxi,2013,1579098,619.32,9779669.7336,12665.25,280666.7,558,632,1190,187,670,857,8565.0,30301263,5424434,620613,1855,5035.75,43.7865,51.65,70.07,33.84,12.67,66.2373,13.82,15.1279,2266.7962,2281.9241,33847.89,21.68,1140835,47795,89.7937,11031.888,19761,464.0385
4,Shanxi,2014,1623281,614.28,9971490.5268,12761.49,295186.1,692,661,1353,201,731,932,8371.0,30852826,5072806,542635,1842,5678.69,43.8254,58.9,67.26,40.4,14.22,66.0796,20.3,11.4505,2104.3844,2115.8349,34248.08,21.2,1077990,49250,114.5107,12354.5298,19863,452.1
4,Shanxi,2015,1468132,622.84,9144113.3488,12766.49,286985.2,628,790,1418,258,715,973,10020.0,34229700,6028500,374700,1827,6789.06,56.3412,143.18,56.39,36.02,15.77,60.265,11.43,9.4039,1864.1582,1873.5621,33592.71,20.61,900765,41356,107.2962,14074.1553,19029,440.2665
4,Shanxi,2016,1666141,664.23,11067008.3643,13050.41,233241.6,893,1043,1936,360,819,1179,10062.0,34288600,6069700,345600,1832,7236.64,59.4775,140.35,56.39,34.18,18.56,57.1834,11.75,11.1079,1802.3546,1813.4625,33972.42,18.17,452866,28513.4,68.1486,14197.9823,18974,430.5525
4,Shanxi,2017,1718688,675.18,11604237.6384,15528.42,169048.8,1117,1479,2596,358,985,1343,11311.0,37564199,6206738,502451,1812,8030.37,64.1076,272.69,69.76,35.59,20.84,76.9806,12.08,11.3466,2486.5329,2497.8795,41242.23,17.93,296020,24041,43.3756,6040.5395,19581,428.6802
4,Shanxi,2018,2076237,661.74,13739290.7238,16818.11,236171.2,1477,1639,3116,337,1505,1842,15060.0,42839099,6680275,590845,1789,8988.28,69.4257,325.17,79.99,39.49,22.75,77.9719,11.62,11.295,2900.5474,2911.8424,45516.63,19.14,239358,21872,43.38,6348.6072,20199,425.8247
4,Shanxi,2019,2098163,689.85,14474177.4555,17026.68,135904.2,1453,2632,4085,340,1601,1941,16598.0,47107629,6962768,577171,1762,8748.87,87.297,383.03,78,34.91,24.21,80.4834,10.6,14.1789,3140.2664,3154.4453,48468.67,19.82,197156,24808.8,51.6347,6602.1951,20859,441.1
4,Shanxi,2020,2184201,689.76,15065744.8176,17651.93,169058,1141,793,1934,417,3047,3464,27296.0,51108700,7333600,660900,1738,9029.81,105.1683,358.73,72.46,28.57,26.15,82.9949,19.7,12.6,3379.9854,3392.5854,51051,21.51,122494,23874.5532,59.8895,6854.1998,20980.55,456.37
4,Shanxi,2021,3451218.8,645.15,22265538.0882,22590.16,170000,761,886,1647,401,2832,3233,37379.0,50466200,7780000,833800,1715,10090.155,123.6025,493.51,98.9874,29.12,27.42,75.6401,18.56,11.53,3647.3984,3658.9284,65625,23.71,121656,22139.2834,50.8065,6676.7397,21643.94,457.38
5,Neimenggu,2004,372170.6,827.68,3080381.62208,3041.07,62743,31,41,72,8,41,49,831.0,5641117,662206,17485,1026.1,873.534521724057,10.2825,2.5921,10.7499,5.2895,0.7622,0,3.917,1.431,311.5912,313.0222,12314.95,21.92,1034000,22848,85.8,1787.95,7623,243.1
5,Neimenggu,2005,487625.4,819.17,3994480.98918,3905.03,118577,27,53,80,8,34,42,845.0,6818772,786645,19037,1041.1,1532.78,11.8053,6.6395,14.2453,6.2537,0.9362,12.2783,6.0179,2.51687,473.2478,475.76467,14694.94,22.61,1296000,24967,106,2643.6001,9666,243
5,Neimenggu,2006,596082,797.18,4751846.4876,4944.25,174066,47,70,117,7,47,54,978.0,8121330,950332,21354,1051.2,1814.42,13.7402,12.7755,18.0537,8.3743,1.3084,15.3746,7.1987,3.31843,605.0784,608.39683,17275.12,21.23,1384000,27823,75.8,3363.2103,11221,242.5981
5,Neimenggu,2007,773588.5,760.4,5882366.954,6423.18,214889,52,64,116,21,85,106,1313.0,10823054,1535674,92228,1081.5,2174.46,17.3713,16.6767,23.5883,15.4449,1.3097,20.0595,3.7356,5.62241,793.8475,799.46991,21333.76,22.07,1283000,25021,70.4,4372.88,12777,246.5
5,Neimenggu,2008,891848.3,694.51,6193975.62833,8496.2,265074,52,82,134,14,74,88,1328.0,14545732,2064017,153634,1103.3,2583.79,22.3422,22.0576,29.6385,34.0544,3.1645,28.4336,10.1264,6.96245,1038.9207,1045.88315,25619.87,20.35,1258581,29167,63.8,5475.4099,14100,244.8
5,Neimenggu,2009,677406.6,683.1,4627364.4846,9740.25,298385,68,123,191,26,94,120,1494.0,19268365,2434800,180652,1142.5,3696.65,42.565,27.5457,35.5506,37.4005,4.9221,31.9174,32.1657,8.48910975,1184.6742,1193.16330975,28982.03,21.87,1204018,28616,48.5,7336.7896,15344,245.8276
5,Neimenggu,2010,872974.1,676.95,5909598.16995,11672,338456,84,140,224,19,135,154,2096.0,22735046,3221072,213949,1398,4209.02,51.1388,36.8174,44.5859,44.5815,6.2079,52.3226,31.5298,7.973459,1555.7939,1563.767359,33262.45,20.46,1193000,39536,63.6,8926.4602,16820,249.2
5,Neimenggu,2011,1193090,645.88,7705929.692,14359.88,383827,107,158,265,33,172,205,2262.0,29892100,3906900,282100,1388,5015.89,59.3101,56.81,59.87,52.14,7.82,61.8812,30.65,9.18423,1999.5795,2008.76373,38276,23.49,1250180,39409,60.4534,10365.17,18737,262.3926
5,Neimenggu,2012,1125898,631.25,7107231.125,15880.5788,394319,189,221,410,56,146,202,3084.0,34259895,4399688,276056,1379,5630.5,65.4311,68.1,64.94,67.47,10.99,54.6597,65.83,9.8363,2221.6054,2231.4417,42441,26.18,1241475,33618,66.7689,11875.7414,19786,270.7695
